ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
242;1;6;5;5;2;5;17;4;1;1;1;1;2;4;4;2;7;1;3;4;1;0,21
243;1;3;1;4;2;2;11;4;1;3;3;4;6;5;2;1;2;1;3;2;2;0,32
244;2;3;4;2;1;5;16;7;1;2;3;3;6;1;3;2;6;;2;3;2;0,68
245;1;5;3;3;2;5;3;4;1;1;2;2;6;3;3;1;1;;3;3;2;0,11
246;1;6;1;3;1;5;17;5;1;1;3;3;8;2;3;2;7;2;2;4;3;0,7
247;1;3;2;3;1;6;13;2;1;2;2;3;3;2;3;1;1;;2;3;1;2,42
248;1;6;1;6;1;5;4;4;1;1;2;3;7;4;2;1;1;;2;5;2;0,74
249;1;4;4;2;2;7;10;5;1;1;1;3;8;1;3;1;2;1;3;3;3;0,24
250;1;6;3;6;1;6;17;3;1;2;4;4;3;4;4;2;7;2;2;5;1;2,72
251;1;3;1;6;2;2;1;4;1;2;1;1;8;4;3;1;1;;3;3;3;0,32
252;1;6;4;6;1;6;17;5;1;1;2;2;7;4;2;2;7;2;2;4;2;0,72
253;1;6;3;6;1;5;17;1;1;2;4;4;3;4;3;2;7;2;2;4;1;1,58
254;1;6;5;2;1;5;17;4;1;1;1;3;3;5;3;2;7;2;2;4;1;0,63
255;1;5;2;2;1;5;10;4;1;1;5;5;3;1;2;1;2;2;2;3;1;1,01
256;1;6;4;4;2;5;17;6;1;1;2;3;7;3;2;2;7;1;3;4;2;0,23
257;2;4;1;6;1;2;3;5;1;1;1;3;10;4;3;1;1;;2;3;;2
258;2;2;4;5;2;4;11;4;1;1;3;3;4;3;2;1;2;1;3;2;1;0,16
259;1;3;2;2;1;5;6;5;1;1;2;4;6;3;2;1;2;1;2;3;2;0,6
260;2;6;3;5;2;7;17;2;1;2;3;4;5;4;3;2;7;1;3;4;2;0,46
261;2;6;1;4;1;6;17;6;1;3;5;5;3;3;3;2;7;2;1;4;1;2,39
262;2;6;3;2;1;6;10;1;1;2;3;3;7;1;2;1;2;2;2;4;2;1,57
263;1;3;3;3;1;5;4;1;1;1;2;2;8;2;3;1;1;;2;3;3;1,54
264;2;4;3;5;2;2;10;5;1;2;2;4;8;4;3;1;2;2;3;3;3;0,24
265;2;3;1;1;1;5;18;6;1;1;5;5;3;1;5;2;4;2;2;2;1;1,35
266;1;4;1;6;2;8;9;6;1;3;5;4;4;4;2;1;2;2;3;3;1;0,85
267;2;4;4;1;1;4;10;6;1;1;3;3;4;5;3;1;2;2;2;3;1;2,32
268;1;6;3;4;1;6;17;1;1;1;2;3;7;2;3;2;7;1;1;4;2;0,67
269;2;3;1;6;1;5;10;6;1;1;1;4;3;3;3;1;2;2;2;3;1;0,58
270;2;6;3;6;1;5;16;4;1;1;2;5;6;4;2;2;6;;1;4;2;0,71
271;2;6;5;6;2;6;17;4;1;3;2;3;6;4;2;2;7;1;3;4;2;0,32
272;2;4;5;1;1;5;8;4;1;1;4;4;3;1;2;1;2;1;2;3;1;0,43
273;1;5;4;6;1;5;1;4;1;1;2;2;7;4;2;1;1;;2;4;2;0,81
274;1;3;2;5;1;2;10;4;1;2;5;5;6;3;2;1;2;2;2;3;2;0,42
275;1;6;2;3;2;6;17;6;1;2;5;3;7;3;2;2;7;2;3;4;2;1,04
276;1;5;2;2;1;3;12;6;1;1;1;3;4;1;5;1;3;2;1;4;1;2,9
277;2;4;2;5;2;6;9;2;1;3;1;5;8;4;2;1;2;2;3;3;3;0,49
278;1;4;2;2;1;5;12;1;1;1;2;2;3;5;2;1;3;2;1;3;1;1,55
279;1;5;2;2;1;6;5;4;1;3;4;3;6;1;3;1;1;;2;4;2;0,76
280;1;5;1;2;2;5;9;4;3;1;1;2;8;1;1;1;2;2;3;4;3;0,3
281;2;5;1;6;1;6;10;5;1;1;1;1;8;4;2;1;2;2;1;4;3;0,39
282;2;6;4;3;2;3;17;5;1;3;2;2;8;2;3;2;7;2;3;4;3;0,12
